budget_type,city_abc,expense_category,division_board,consultants_name
OPERATING,Corporate Services,Technical,Corporate Real Estate Management,Jensen Hughes Consulting
OPERATING,Corporate Services,Technical,Corporate Real Estate Management,Riskcheck Inc
OPERATING,Corporate Services,Management / Research & Development,Corporate Real Estate Management,Phase 5 Consulting Group
OPERATING,Corporate Services,Management / Research & Development,Corporate Real Estate Management,FM Insight Consulting Ltd.
OPERATING,Corporate Services,Legal (External Lawyers & Planners),Corporate Real Estate Management,Davies Ward Phillips & Vineberg LLP
OPERATING,Corporate Services,Technical,Environment & Energy,Mantle314 Inc
OPERATING,Corporate Services,Information Technology,Technology Services,Amar Dhindsa
OPERATING,Finance & Treasury Services,Technical,Controller,Hemson Consulting Ltd.
OPERATING,Finance & Treasury Services,Technical,Controller,Hemson Consulting Ltd.
OPERATING,Finance & Treasury Services,Management / Research & Development,Controller,KPMG LLP
OPERATING,Finance & Treasury Services,Management / Research & Development,Capital Markets,Aon Hewitt Inc.
OPERATING,Finance & Treasury Services,Management / Research & Development,Financial Planning,Ernst & Young LLP
OPERATING,Finance & Treasury Services,Management / Research & Development,Financial Planning,Ernst & Young LLP
OPERATING,Finance & Treasury Services,Legal (External Lawyers & Planners),"Pension, Payroll & Employee Benefits","Osler, Hoskin & Harcourt, LLP"
OPERATING,Finance & Treasury Services,Management / Research & Development,Purchasing & Materials Management,Ernst & Young LLP
OPERATING,Finance & Treasury Services,Management / Research & Development,Purchasing & Materials Management,Ernst & Young LLP
OPERATING,Community and Social Services,Technical,Children's Services,LGA Architectural Partners Limited
OPERATING,Community and Social Services,Technical,Children's Services,Barnes Management Group
OPERATING,Community and Social Services,Technical,Children's Services,George Brown College
OPERATING,Community and Social Services,Management / Research & Development,Children's Services,Gladki Planning Associates Inc.
OPERATING,Community and Social Services,Management / Research & Development,Children's Services,University of Toronto
OPERATING,Community and Social Services,Management / Research & Development,Court Services,Diabsolut Inc.
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Creative Process Inc
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Groundswell Projects Inc
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,JC Williams Group Ltd
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,John Archer and Associates
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,NGL Nordicity Group Ltd
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Solutions Elevent Inc
OPERATING,Community and Social Services,Legal (External Lawyers & Planners),Economic Development & Culture,Whitten & Lublin Employment Lawyers
OPERATING,Community and Social Services,Creative Communications,Economic Development & Culture,"Holland, Sue"
OPERATING,Community and Social Services,Creative Communications,Economic Development & Culture,"Pandya, Parul"
OPERATING,Community and Social Services,Technical,Housing Secretariat,MNP LLP
OPERATING,Community and Social Services,Information Technology,Housing Secretariat,DBA Bruce Davis Consulting
OPERATING,Community and Social Services,Information Technology,Housing Secretariat,DBA Bruce Davis Consulting
OPERATING,Community and Social Services,Information Technology,Housing Secretariat,Ontario Inc
OPERATING,Community and Social Services,Management / Research & Development,Housing Secretariat,Sean Gadon
OPERATING,Community and Social Services,Management / Research & Development,Housing Secretariat,Lura Consulting
OPERATING,Community and Social Services,Technical,"Parks, Forestry & Recreation",ANKOR Inspection & Engineering Services
OPERATING,Community and Social Services,Management / Research & Development,"Parks, Forestry & Recreation",Robinson Global Management Inc.
OPERATING,Community and Social Services,Technical,"Social Development, Finance & Administration",Joy Connelly
OPERATING,Community and Social Services,Management / Research & Development,"Social Development, Finance & Administration",Write Think Do Inc
OPERATING,Community and Social Services,Management / Research & Development,"Social Development, Finance & Administration",Tommy Taylor
OPERATING,Community and Social Services,Management / Research & Development,"Social Development, Finance & Administration",Wellesley Institute - Dr. Kwame Julius McKenzie (CEO)
OPERATING,Community and Social Services,Creative Communications,"Social Development, Finance & Administration",7806167 Canada LTD O/A Makers
OPERATING,Community and Social Services,Information Technology,Toronto Public Health,Laryssa Landale
OPERATING,Community and Social Services,Management / Research & Development,Toronto Public Health,Blue Dot Inc
OPERATING,Community and Social Services,Management / Research & Development,Toronto Public Health,"MOWAT, DAVID L"
OPERATING,Community and Social Services,Management / Research & Development,Toronto Public Health,Sarah Hicks Consulting
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Hildich Architect
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Canadian Observatory of Homelessness
OPERATING,City Manager,Technical,City Clerk's Office,Free & Fair
OPERATING,City Manager,Management / Research & Development,City Clerk's Office,MNP LLP
OPERATING,City Manager,Management / Research & Development,City Clerk's Office,Procurity Group
OPERATING,City Manager,Technical,Concept 2 Keys,KPMG LLP
OPERATING,City Manager,Technical,Concept 2 Keys,KPMG LLP
OPERATING,City Manager,Management / Research & Development,Executive Administration,Saad Rafi
OPERATING,City Manager,Management / Research & Development,Governance & Corporate Strategy,QuakeLab
OPERATING,City Manager,Technical,Governance & Corporate Strategy,George Brown College
OPERATING,City Manager,Management / Research & Development,People & Equity,KORN FERRY
OPERATING,City Manager,Information Technology,Office of the CISO,KPMG LLP
OPERATING,City Manager,Information Technology,Office of the CISO,KPMG LLP
OPERATING,City Manager,Management / Research & Development,Strategic Communications,Edelman P.R. Worldwide Canada Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,Mass LBP Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,Canadian Urban Institute
OPERATING,Infrastructure and Development,Technical,City Planning,Jade Acoustics Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,WSP Canada Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,WSP Canada Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,WSP Canada Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,Jade Acoustics Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,WSP Canada Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,WSP Canada Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,GHD Limited
OPERATING,Infrastructure and Development,Technical,City Planning,RJ Burnside & Associates Inc
OPERATING,Infrastructure and Development,Technical,City Planning,Jade Acoustics Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,RJ Burnside & Associates Inc
OPERATING,Infrastructure and Development,Technical,City Planning,Valcoustics Ltd.
OPERATING,Infrastructure and Development,Management / Research & Development,Office of Emergency Management,"Torigan, Matthew"
OPERATING,Infrastructure and Development,Technical,Toronto Building,KPMG LLP
OPERATING,Infrastructure and Development,Technical,Toronto Building,LMDG Building Code Consultants
OPERATING,Infrastructure and Development,Technical,Transportation Services,Building Design Solutions Ltd
OPERATING,Infrastructure and Development,Technical,Transportation Services,CIMA Canada Inc.
OPERATING,Infrastructure and Development,Technical,Transportation Services,Clean Air Partnership
OPERATING,Infrastructure and Development,Technical,Transportation Services,HDR Corporation
OPERATING,Infrastructure and Development,Technical,Transportation Services,HDR Corporation
OPERATING,Infrastructure and Development,Technical,Transportation Services,IBI Group Professional Service
OPERATING,Infrastructure and Development,Technical,Transportation Services,IBI Group Professional Service
OPERATING,Infrastructure and Development,Technical,Transportation Services,IBI Group Professional Service
OPERATING,Infrastructure and Development,Technical,Transportation Services,OTC - Ontario Traffic Council
OPERATING,Infrastructure and Development,Technical,Transportation Services,Pembina Institute For Appropriate Development
