budget_type,city_abc,expense_category,division_board,consultants_name
OPERATING,City Manager,Management / Research & Development,Chief Transformation Office,Slalom Consulting
OPERATING,City Manager,Management / Research & Development,City Clerk's Office,Western Management Consultants of Ontario
OPERATING,City Manager,Management / Research & Development,City Clerk's Office,MNP LLP
OPERATING,City Manager,Management / Research & Development,City Clerk's Office,Procurity Group
OPERATING,City Manager,Technical,Governance & Corporate Strategy,George Brown College
OPERATING,City Manager,Management / Research & Development,People & Equity,Transformative Directions
OPERATING,City Manager,Management / Research & Development,Strategic Communications,Edelman P.R. Worldwide Canada Inc.
OPERATING,Community and Social Services,Management / Research & Development,Children's Services,Gladki Planning Associates Inc.
OPERATING,Community and Social Services,Management / Research & Development,Children's Services,Calian Limited
OPERATING,Community and Social Services,Technical,Children's Services,LGA Architectural Partners Limited
OPERATING,Community and Social Services,Technical,Children's Services,"Salmon, Christina"
OPERATING,Community and Social Services,Technical,Children's Services,Barnes Management Group
OPERATING,Community and Social Services,Technical,Children's Services,George Brown College
OPERATING,Community and Social Services,Management / Research & Development,Court Services,MNP LLP
OPERATING,Community and Social Services,Management / Research & Development,Court Services,Diabsolut Inc.
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,HR Transformations Inc
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,NGL Nordicity Group Ltd
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,John Archer And Associates
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Dragonfly Consulting Services Canada
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,JC Williams Group Ltd
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,"Granata, Paolo"
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,NGL Nordicity Group Ltd
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,The Middle CC Group Inc
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Diversio Inc
OPERATING,Community and Social Services,Creative Communications,"Parks, Forestry & Recreation",Manifest Communications Inc.
OPERATING,Community and Social Services,Creative Communications,"Parks, Forestry & Recreation",Pilot PMR
OPERATING,Community and Social Services,Technical,"Parks, Forestry & Recreation",Watson & Associates Economists Ltd
OPERATING,Community and Social Services,Technical,"Parks, Forestry & Recreation","Harper, Kathleen (Plastibuff)"
OPERATING,Community and Social Services,Management / Research & Development,Seniors Services and Long-Term Care,York University
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Beverly Wolfus Consulting
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Canadian Observatory of Homelessness
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Canadian Observatory of Homelessness
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Canadian Observatory of Homelessness
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Joy Connelly
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Hildich Architect
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",LOBO Consulting Services Inc
