budget_type,city_abc,expense_category,division_board,consultants_name,x2018_expenditure
OPERATING,City Manager,Management/R&D,Chief Transformation Office,Slalom Consulting,15264
OPERATING,City Manager,Management/R&D,Chief Transformation Office,Slalom Consulting,15976
OPERATING,City Manager,Creative Communications,City Clerk's Office,Mindful Experience Inc.,142
OPERATING,City Manager,Management/R&D,"Equity, Diversity and Human Rights",Nbisiing Consulting Inc,39992
OPERATING,City Manager,Management/R&D,Strategic & Corporate Policy,Canadian Urban Institute,1000
OPERATING,Community and Social Services,Technical,Children's Services,Deloitte LLP,91177
OPERATING,Community and Social Services,Technical,Children's Services,Barnes Management Group,64753
OPERATING,Community and Social Services,Technical,Children's Services,MNP LLP,33920
OPERATING,Community and Social Services,Technical,Children's Services,"Salmon, Christina",22998
OPERATING,Community and Social Services,Technical,Children's Services,LGA Architectural Partners Limited,31412
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,"Barker, Keith",2792
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,"Bolduc, Denise",3052
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Hemson Consulting Ltd.,9333
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Hemson Consulting Ltd.,7654
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Hemson Consulting Ltd.,25190
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,HR Transformations Inc,25701
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,John Archer And Associates,2996
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Angela Loft,1840
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Andre Morriseau,2760
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,N. Barry Lyon Consultants Limited,45000
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,N. Barry Lyon Consultants Limited,7500
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,NGL Nordicity Group Ltd,33047
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Shaftesbury Associates,3053
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Kerry Swanson,50778
OPERATING,Community and Social Services,Management/R&D,Long-Term Care Homes & Services,"Janes, Nadine",11321
OPERATING,Community and Social Services,Management/R&D,Long-Term Care Homes & Services,Faye Clack Communications Inc,25440
OPERATING,Community and Social Services,Management/R&D,"Parks, Forestry & Recreation",KPMG LLP,166279
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Strategic Retreats Inc.,15188
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Canadian Urban Institute,8760
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Joy Connelly,10176
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Joy Connelly,12284
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Straticom Planning Associates,10734
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Infrastructure Interior Associates Inc.,1425
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",CHU Architects Inc.,7174
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",VG The Ventin Group Architects,20352
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",SHS Inc.,14182
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",York University,10362
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",DBA Bruce Davis Consulting,10507
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Piaskowski Pat,35857
OPERATING,Community and Social Services,Creative Communications,"Social Development, Finance & Administration",Family Service Toronto,27000
OPERATING,Community and Social Services,Management/R&D,"Social Development, Finance & Administration","Daniel, Dr Beverly-Jean",17299
OPERATING,Community and Social Services,Management/R&D,"Social Development, Finance & Administration","Williams, Rudi Quammie",1015
OPERATING,Community and Social Services,Management/R&D,"Social Development, Finance & Administration",Blueprint Ade,9515
OPERATING,Community and Social Services,Management/R&D,"Social Development, Finance & Administration",Yonge Street Mission,79168
OPERATING,Community and Social Services,Management/R&D,"Social Development, Finance & Administration",Alzheimer Society Of Toronto,10000
OPERATING,Corporate Services,Management/R&D,Facilities Management,Build Toronto Inc.,73527
OPERATING,Corporate Services,Management/R&D,Facilities Management,Transition Path Inc.,7327
OPERATING,Corporate Services,IT,Information & Technology,KPMG LLP,152640
OPERATING,Corporate Services,Legal,Real Estate Services,DBA Bruce Davis Consulting,166924
OPERATING,Finance & Treasury Services,Management/R&D,Corporate Finance,Aon Hewitt Inc.,117025
OPERATING,Finance & Treasury Services,Management/R&D,Financial Planning,Ernst & Young LLP,105906
OPERATING,Finance & Treasury Services,Legal,"Pension, Payroll & Employee Benefits","Osler, Hoskin & Harcourt, LLP",162152
OPERATING,Finance & Treasury Services,Technical,"Pension, Payroll & Employee Benefits",Mercer (Canada) Limited,4591
OPERATING,Finance & Treasury Services,Technical,Purchasing & Materials Management,Ernst & Young LLP,412271
OPERATING,Infrastructure and Development,Technical,City Planning,Mass LBP Inc.,8519
OPERATING,Infrastructure and Development,Technical,City Planning,Mass LBP Inc.,72038
OPERATING,Infrastructure and Development,Technical,City Planning,Arcadis Canada Inc.,7821
OPERATING,Infrastructure and Development,Technical,City Planning,Dillon Consulting,63314
OPERATING,Infrastructure and Development,Technical,City Planning,Jade Acoustics Inc.,11194
OPERATING,Infrastructure and Development,Technical,City Planning,Downtown Yonge BIA,13021
OPERATING,Infrastructure and Development,Technical,City Planning,Canadian Urban Institute,8760
OPERATING,Infrastructure and Development,Technical,City Planning,Lura Consulting,37688
OPERATING,Infrastructure and Development,Technical,City Planning,Dialog Ontario Inc.,90900
OPERATING,Infrastructure and Development,Technical,City Planning,Scott Torrance Landscape Architects,4579
OPERATING,Infrastructure and Development,Technical,City Planning,Maclennan Jaunkalns Miller,17808
OPERATING,Infrastructure and Development,Management/R&D,Municipal Licensing & Standards,Swerhun Inc.,2216
OPERATING,Infrastructure and Development,Technical,Municipal Licensing & Standards,Watson & Associates Economists Ltd,24846
OPERATING,Infrastructure and Development,Management/R&D,Solid Waste Management,Kelleher Environment,48339
OPERATING,Infrastructure and Development,Management/R&D,Solid Waste Management,Western Management Consultants of Ontario,45792
OPERATING,Infrastructure and Development,Technical,Toronto Water,Dillon Consulting,33028
OPERATING,Infrastructure and Development,Technical,Toronto Water,Larry Moore Consulting,11321
OPERATING,Infrastructure and Development,Management/R&D,Toronto Water,FVB Energy Inc,17919
OPERATING,Infrastructure and Development,Management/R&D,Transportation Services,PricewaterhouseCoopers LLP,667
OPERATING,Infrastructure and Development,Technical,Transportation Services,Waterford Partners Inc,18437
OPERATING,Infrastructure and Development,Technical,Transportation Services,Henry Kortekaas & Associates,3052
OPERATING,Agencies and Corporations,IT,Exhibition Place,Dude Solutions,6328
OPERATING,Agencies and Corporations,Technical,Exhibition Place,RWDI,108169
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Vollmer Cultural Consultants Inc,7456
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Gordon Strategy,1500
OPERATING,Agencies and Corporations,Management/R&D,TO Live,LEA Consulting Ltd,11216
OPERATING,Agencies and Corporations,Technical,TO Live,Epiphany Engineering Inc,888
OPERATING,Agencies and Corporations,Technical,TO Live,Sound Space Design Limited,5414
OPERATING,Agencies and Corporations,IT,Toronto Police Service,Andy Hunter Consultants Inc,2035
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Mercer (Canada) Limited,41766
OPERATING,Agencies and Corporations,Creative Communications,Toronto Police Service,Deloitte LLP,171974
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Deloitte LLP,269664
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Korn Ferry,285104
OPERATING,Agencies and Corporations,IT,Toronto Police Service,Gartner Canada,239136
OPERATING,Agencies and Corporations,Technical,Toronto Police Service,Teramach Technologies Inc.,42839
OPERATING,Agencies and Corporations,Technical,Toronto Police Service,Environics Analytics Group Ltd,67467
OPERATING,Agencies and Corporations,Technical,Toronto Police Service,Michael Cizmar & Associates,122112
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Goodwin Consulting Service Inc,39843
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Mercer (Canada) Limited,9305
