budget_type,city_abc,expense_category,division_board,consultants_name,x2020_expenditure
OPERATING,Corporate Services,Technical,Corporate Real Estate Management,Jensen Hughes Consulting,22738
OPERATING,Corporate Services,Technical,Corporate Real Estate Management,Riskcheck Inc,93904
OPERATING,Corporate Services,Management/R&D,Corporate Real Estate Management,Phase 5 Consulting Group,494
OPERATING,Corporate Services,Management/R&D,Corporate Real Estate Management,FM Insight Consulting Ltd.,35139
OPERATING,Corporate Services,Legal,Corporate Real Estate Management,Davies Ward Phillips & Vineberg LLP,244558
OPERATING,Corporate Services,Technical,Environment & Energy,Mantle314 Inc,34598
OPERATING,Corporate Services,IT,Technology Services,Amar Dhindsa,5724
OPERATING,Finance & Treasury Services,Technical,Controller,Hemson Consulting Ltd.,6135
OPERATING,Finance & Treasury Services,Technical,Controller,Hemson Consulting Ltd.,17877
OPERATING,Finance & Treasury Services,Management/R&D,Controller,KPMG LLP,175455
OPERATING,Finance & Treasury Services,Management/R&D,Capital Markets,Aon Hewitt Inc.,117024
OPERATING,Finance & Treasury Services,Management/R&D,Financial Planning,Ernst & Young LLP,483360
OPERATING,Finance & Treasury Services,Management/R&D,Financial Planning,Ernst & Young LLP,445905
OPERATING,Finance & Treasury Services,Legal,"Pension, Payroll & Employee Benefits","Osler, Hoskin & Harcourt, LLP",446167
OPERATING,Finance & Treasury Services,Management/R&D,Purchasing & Materials Management,Ernst & Young LLP,1719545
OPERATING,Finance & Treasury Services,Management/R&D,Purchasing & Materials Management,Ernst & Young LLP,1017600
OPERATING,Community and Social Services,Technical,Children's Services,LGA Architectural Partners Limited,1659
OPERATING,Community and Social Services,Technical,Children's Services,Barnes Management Group,17458
OPERATING,Community and Social Services,Technical,Children's Services,George Brown College,12852
OPERATING,Community and Social Services,Management/R&D,Children's Services,Gladki Planning Associates Inc.,7826
OPERATING,Community and Social Services,Management/R&D,Children's Services,University of Toronto,41925
OPERATING,Community and Social Services,Management/R&D,Court Services,Diabsolut Inc.,26117
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Creative Process Inc,12211
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Groundswell Projects Inc,8446
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,JC Williams Group Ltd,50404
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,John Archer and Associates,111301
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,NGL Nordicity Group Ltd,20678
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Solutions Elevent Inc,48626
