budget_type,city_abc,expense_category,division_board,consultants_name,x2017_expenditure
OPERATING,Finance & Treasury Services,Legal,"Pension, Payroll & Employee Benefits","Osler, Hoskin & Harcourt, LLP",150217
OPERATING,Finance & Treasury Services,Legal,"Pension, Payroll & Employee Benefits",Dentons Canada LLP,571
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,Imex Systems Inc.,1978
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd,32538
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd,297719
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,WSP Canada Inc.,191350
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",MNP LLP,17808
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd,44045
OPERATING,Infrastructure and Development,Technical,City Planning,Mass LBP Inc.,31695
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,STV Canada Consulting Inc.,195006
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Mercer (Canada) Limited,14866
OPERATING,Infrastructure and Development,Legal,Transportation Services,Stikeman Elliott LLP,13187
OPERATING,Corporate Services,Technical,Environment & Energy,Lura Consulting,1140
OPERATING,Corporate Services,Management/R&D,Real Estate Services,Deloitte LLP,55856
OPERATING,Community and Social Services,Technical,Children's Services,"Cleveland, Gordon",3729
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Mercer (Canada) Limited,36869
OPERATING,Community and Social Services,Technical,Economic Development & Culture,Hemson Consulting Ltd.,25440
OPERATING,Infrastructure and Development,Technical,City Planning,RWDI,22334
OPERATING,Infrastructure and Development,Technical,Engineering & Construction Services,RV Anderson Associates Ltd,3123
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,MDB Insight Inc.,32421
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Hemson Consulting Ltd.,50993
OPERATING,Infrastructure and Development,Technical,Toronto Building,David P Amborski & Associates,7632
OPERATING,Infrastructure and Development,Technical,City Planning,Scott Torrance Landscape Architects,27475
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Beverly Wolfus Consulting,13243
OPERATING,Agencies and Corporations,Creative Communications,Toronto Police Service,Sandra Buckler,251533
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",VG The Ventin Group Architects,238627
OPERATING,Corporate Services,Technical,Environment & Energy,Dunsky Energy Consulting,9359
OPERATING,Community and Social Services,Technical,"Social Development, Finance & Administration",Dunsky Energy Consulting,22957
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",DBA Bruce Davis Consulting,3027
OPERATING,Finance & Treasury Services,Management/R&D,Corporate Finance,Ernst & Young LLP,20352
OPERATING,Finance & Treasury Services,Management/R&D,Corporate Finance,Morneau Shepell Ltd.,100234
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",K & L Consulting Inc.,30528
OPERATING,Corporate Services,Management/R&D,Information & Technology,Deloitte LLP,115455
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,Bridgeable - Cooler Solutions Inc.,168397
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,KPMG LLP,66447
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,Stantec Consultants Inc.,394793
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,HDR Corporation,48576
OPERATING,Infrastructure and Development,Technical,City Planning,Balmoral Marketing Inc.,1984
OPERATING,Community and Social Services,Technical,Children's Services,SN Management Inc.,141227
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Services Board,Anthony Doob,10176
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Korn Ferry,185865
OPERATING,Agencies and Corporations,Legal,Toronto Zoo,Miller Thomson LLP,11174
OPERATING,Infrastructure and Development,IT,Transportation Services,Ian Martin Information Technology,61422
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",CMHA - Canadian Mental Health,50000
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",SHS Inc.,33091
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",York University,41448
OPERATING,Agencies and Corporations,Legal,Toronto Police Services Board,Hicks Morley Hamilton Stewart Storie,59241
OPERATING,Infrastructure and Development,Technical,City Planning,Prism Partners Inc.,23000
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Prism Partners Inc.,24342
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",DBA Bruce Davis Consulting,10089
OPERATING,Infrastructure and Development,Technical,City Planning,Zas Architects Inc.,9922
OPERATING,Corporate Services,Technical,Environment & Energy,Deloitte LLP,153557
OPERATING,Community and Social Services,Management/R&D,"Parks, Forestry & Recreation",DCS & Associates,3002
OPERATING,Agencies and Corporations,Management/R&D,Toronto Zoo,Zoo Advisors LLC,51834
OPERATING,Infrastructure and Development,Technical,City Planning,Watson & Associates Economists Ltd,31708
OPERATING,Agencies and Corporations,Legal,Toronto Police Service,"Henein, Hutchison L.L.P.",834
OPERATING,Community and Social Services,Management/R&D,"Parks, Forestry & Recreation",Vincent Racine,2800
OPERATING,Community and Social Services,Management/R&D,Children's Services,Deloitte LLP,66085
OPERATING,Finance & Treasury Services,Technical,"Pension, Payroll & Employee Benefits",Mercer (Canada) Limited,27288
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Dr. Ashley David Bender,6798
OPERATING,Agencies and Corporations,IT,Toronto Police Service,Gartner Canada,183168
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Infrastructure Interior Associates Inc.,53424
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Straticom Planning Associates,51266
OPERATING,Infrastructure and Development,Management/R&D,Transportation Services,Matson Driscoll & Damico Ltd,10074
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Joy Connelly,15264
OPERATING,Infrastructure and Development,Technical,Municipal Licensing & Standards,Watson & Associates Economists Ltd,22489
OPERATING,Infrastructure and Development,Technical,City Planning,SS Wilson Associates Inc.,2391
OPERATING,Community and Social Services,Management/R&D,Employment & Social Services,Overlap Associates Inc.,48845
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Hemson Consulting Ltd.,119602
OPERATING,City Manager,Management/R&D,"Equity, Diversity and Human Rights",Toronto Aboriginal Support Services,10000
OPERATING,Infrastructure and Development,Technical,City Planning,John Archer and Associates,17172
OPERATING,Infrastructure and Development,Management/R&D,Transportation Services,PricewaterhouseCoopers LLP,1104096
OPERATING,Finance & Treasury Services,Management/R&D,Corporate Finance,N. Barry Lyon Consultants Limited,33255
OPERATING,Agencies and Corporations,Management/R&D,Toronto Public Library Board,Goodman's LLP,60000
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",CHU Architects Inc.,49048
OPERATING,Finance & Treasury Services,Management/R&D,Corporate Finance,Ernst & Young LLP,6024
OPERATING,Agencies and Corporations,Legal,Toronto Police Service,"Henein, Hutchison L.L.P.",1857
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Strategic Retreats Inc.,45563
OPERATING,Infrastructure and Development,Technical,City Planning,Dillon Consulting,47597
OPERATING,Finance & Treasury Services,Management/R&D,Financial Planning,Ernst & Young LLP,95565
OPERATING,Agencies and Corporations,Management/R&D,Toronto Zoo,Zoo Advisors LLC,42884
OPERATING,Agencies and Corporations,Legal,Toronto Police Services Board,Diane Whitney,2748
OPERATING,Agencies and Corporations,Legal,Toronto Police Services Board,Paliare Roland Rosenberg Rothstein LLP,1351
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Lansdowne Technologies Inc.,69038
OPERATING,City Manager,Management/R&D,Human Resources,Alan Lambert,23214
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Piaskowski Pat,13936
OPERATING,Agencies and Corporations,Legal,Toronto Police Services Board,Johnson & Cowling LLP,1526
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,Ernst & Young LLP,54264
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,MNP LLP,172992
OPERATING,Agencies and Corporations,Technical,Toronto Police Service,Teramach Technologies Inc.,18656
OPERATING,Corporate Services,Technical,Environment & Energy,Terrapex Environmental Limited,1628
OPERATING,Infrastructure and Development,Technical,City Planning,EQ Building  Performance,4503
